station,valid,lon,lat,tmpf,dwpf,drct,sknt,gust,vsby,alti,wxcodes
I75,2022-05-13 03:55,-93.6876,41.0472,74.50,62.00,160.00,6.00,,7.00,29.85,
PRO,2022-05-13 03:55,-94.1637,41.8278,76.50,62.00,280.00,7.00,,10.00,29.81,
GGI,2022-05-13 03:55,-92.7332,41.7097,77.20,64.00,160.00,9.00,,10.00,29.86,
AUH,2022-05-13 03:55,-97.9946,40.8941,63.70,53.00,50.00,24.00,28.00,10.00,29.84,
GRN,2022-05-13 03:55,-102.1753,42.8060,51.30,40.00,270.00,24.00,36.00,10.00,29.83,
LCG,2022-05-13 03:55,-96.9814,42.2419,63.00,56.00,210.00,7.00,,10.00,29.91,-RA
SYN,2022-05-13 03:55,-93.0145,44.4736,72.00,62.00,0.00,0.00,,10.00,29.78,
SGS,2022-05-13 03:55,-93.0329,44.8571,73.00,59.20,80.00,3.00,,10.00,29.76,
MIB,2022-05-13 03:56,-101.3580,48.4158,53.00,41.50,80.00,20.00,28.00,10.00,29.50,
OTG,2022-05-13 03:56,-95.5792,43.6551,67.00,59.00,210.00,14.00,19.00,10.00,29.76,-RA
FRM,2022-05-13 03:56,-94.4156,43.6439,69.00,61.00,190.00,6.00,,10.00,29.80,
TVF,2022-05-13 03:56,-96.1850,48.0657,57.00,55.00,60.00,17.00,26.00,10.00,29.62,
OLU,2022-05-13 03:56,-97.3426,41.4480,65.00,54.00,200.00,8.00,19.00,10.00,29.93,-RA
EAR,2022-05-13 03:56,-99.0068,40.7270,58.00,52.00,80.00,7.00,,10.00,29.90,
OFK,2022-05-13 03:56,-97.4351,41.9855,68.00,41.00,80.00,9.00,21.00,10.00,29.84,
GNA,2022-05-13 03:56,-90.3457,47.7453,46.00,43.00,70.00,15.00,22.00,,29.89,
DIK,2022-05-13 03:56,-102.8019,46.7973,49.00,48.00,310.00,11.00,,2.00,29.43,+RA BR
CWI,2022-05-13 03:56,-90.3328,41.8295,80.00,68.00,160.00,10.00,,10.00,29.92,
RYM,2022-05-13 03:56,-94.3575,46.0895,,,190.00,23.00,36.00,9.00,29.80,TSRA
DVL,2022-05-13 03:56,-98.9083,48.1146,57.00,55.00,110.00,9.00,,10.00,29.53,
RDR,2022-05-13 03:56,-97.4012,47.9611,59.00,57.00,90.00,21.00,30.00,10.00,29.49,
2WX,2022-05-13 03:56,-103.5464,45.6044,48.00,45.00,280.00,29.00,38.00,,29.55,
RCA,2022-05-13 03:56,-103.1036,44.1451,49.00,41.50,300.00,7.00,,10.00,29.73,
FSD,2022-05-13 03:56,-96.7536,43.5769,67.00,52.00,240.00,6.00,,10.00,29.77,
8D3,2022-05-13 03:56,-96.9914,45.6689,66.00,59.00,180.00,9.00,,,29.62,
GPZ,2022-05-13 03:56,-93.5097,47.2111,61.00,60.00,50.00,4.00,,8.00,29.77,RA
MKT,2022-05-13 03:56,-93.9200,44.2200,72.00,62.00,110.00,3.00,,10.00,29.78,
FOD,2022-05-13 03:56,-94.2032,42.5497,77.00,51.00,170.00,5.00,,10.00,29.81,
YKN,2022-05-13 03:56,-97.3859,42.9167,65.00,51.00,190.00,5.00,,10.00,29.83,
OFF,2022-05-13 03:56,-95.9125,41.1183,73.00,53.00,290.00,15.00,24.00,10.00,29.91,
JMS,2022-05-13 03:56,-98.6800,46.9300,58.00,56.00,90.00,10.00,,10.00,29.49,
MML,2022-05-13 03:56,-95.8200,44.4500,71.00,58.00,220.00,18.00,25.00,10.00,29.66,
D07,2022-05-13 03:56,-102.0200,45.0300,47.00,44.00,250.00,35.00,45.00,,29.61,
1HW,2022-05-13 03:58,-102.8289,41.3251,57.20,21.70,290.00,29.00,35.00,10.00,29.92,
1CW,2022-05-13 03:58,-103.6706,41.5900,46.40,30.20,270.00,11.00,,10.00,29.98,
1BW,2022-05-13 03:58,-103.9950,41.5117,49.60,18.70,280.00,20.00,,10.00,30.01,
PNM,2022-05-13 04:15,-93.6082,45.5599,64.40,62.60,270.00,8.00,16.00,10.00,29.84,RA
FSE,2022-05-13 04:15,-95.7735,47.5928,55.40,53.60,20.00,7.00,,10.00,29.60,
SYN,2022-05-13 04:15,-93.0145,44.4736,74.50,61.70,0.00,0.00,,10.00,29.78,
ORB,2022-05-13 04:33,-92.8560,48.0159,55.40,55.40,130.00,3.00,,7.00,29.77,RA
EVM,2022-05-13 04:35,-92.4981,47.4251,53.60,53.60,30.00,8.00,,10.00,29.73,-RA
JYG,2022-05-13 04:36,-94.5579,43.9863,66.20,60.80,140.00,8.00,,10.00,29.71,
XWA,2022-05-13 04:51,-103.7505,48.2597,46.00,45.00,10.00,23.00,,4.00,29.54,-RA BR
VTN,2022-05-13 04:52,-100.5489,42.8567,58.00,39.00,270.00,22.00,34.00,10.00,29.79,
CID,2022-05-13 04:52,-91.7246,41.8829,79.00,63.00,170.00,10.00,,10.00,29.86,
EST,2022-05-13 04:52,-94.7476,43.4008,71.00,57.00,230.00,12.00,19.00,10.00,29.77,
SUX,2022-05-13 04:52,-96.3795,42.3917,62.00,52.00,290.00,7.00,19.00,10.00,29.86,-RA
DVN,2022-05-13 04:52,-90.5948,41.6133,80.00,68.00,160.00,13.00,,10.00,29.92,
OMA,2022-05-13 04:52,-95.8992,41.3103,68.00,56.00,300.00,6.00,,10.00,29.93,-RA
BIS,2022-05-13 04:52,-100.7458,46.7727,59.00,56.00,180.00,15.00,34.00,10.00,29.39,
N60,2022-05-13 04:52,-101.4394,47.6458,54.00,51.00,60.00,16.00,31.00,,29.38,
MBG,2022-05-13 04:52,-100.4078,45.5464,55.00,47.00,230.00,21.00,32.00,10.00,29.53,
RAP,2022-05-13 04:52,-103.0574,44.0453,48.00,40.00,280.00,8.00,,10.00,29.74,
IOW,2022-05-13 04:52,-91.5445,41.6394,80.00,62.00,150.00,8.00,,10.00,29.88,
IEN,2022-05-13 04:52,-102.5110,43.0225,47.00,40.00,270.00,21.00,33.00,10.00,29.86,
CDD,2022-05-13 04:53,-92.4830,48.2660,51.80,48.20,40.00,3.00,,10.00,29.82,RA
SNY,2022-05-13 04:53,-102.9847,41.1014,54.00,23.00,290.00,20.00,30.00,10.00,29.95,
CDR,2022-05-13 04:53,-103.0954,42.8376,47.00,39.00,290.00,16.00,22.00,10.00,29.89,
MCK,2022-05-13 04:53,-100.5921,40.2063,60.00,30.00,310.00,4.00,,10.00,29.93,
OWA,2022-05-13 04:53,-93.2606,44.1233,71.60,60.80,170.00,7.00,,10.00,29.80,
HEI,2022-05-13 04:53,-102.6560,46.0149,48.00,48.00,270.00,21.00,,4.00,29.46,-RA BR
FNB,2022-05-13 04:53,-95.5920,40.0788,77.00,55.00,320.00,22.00,31.00,10.00,29.91,VCTS
HIB,2022-05-13 04:53,-92.8390,47.3866,55.00,54.00,130.00,12.00,,10.00,29.75,-RA
MSP,2022-05-13 04:53,-93.2313,44.8854,68.00,63.00,330.00,8.00,,10.00,29.75,
FCM,2022-05-13 04:53,-93.4607,44.8261,68.00,63.00,350.00,4.00,,10.00,29.75,
RWF,2022-05-13 04:53,-95.0820,44.5469,64.00,61.00,110.00,7.00,,10.00,29.72,
ODX,2022-05-13 04:53,-98.9517,41.6236,55.00,46.00,180.00,5.00,,10.00,29.88,
MIC,2022-05-13 04:53,-93.3511,45.0622,67.00,63.00,320.00,8.00,,10.00,29.76,
STP,2022-05-13 04:53,-93.0600,44.9345,68.00,63.00,50.00,6.00,,10.00,29.76,
AQP,2022-05-13 04:53,-96.0043,45.2275,66.20,59.00,190.00,14.00,19.00,10.00,29.66,
FOZ,2022-05-13 04:53,-93.6502,47.7828,62.60,59.00,60.00,3.00,,10.00,29.70,
XVG,2022-05-13 04:53,-94.2039,46.9900,64.40,60.80,170.00,22.00,33.00,10.00,29.74,+RA
FAR,2022-05-13 04:53,-96.8111,46.9253,64.00,59.00,170.00,15.00,23.00,10.00,29.54,
AMW,2022-05-13 04:53,-93.6185,41.9904,73.00,63.00,150.00,7.00,,10.00,29.80,
MIW,2022-05-13 04:53,-92.9163,42.1106,78.00,63.00,160.00,10.00,,10.00,29.82,
OTM,2022-05-13 04:53,-92.4446,41.1008,76.00,64.00,170.00,10.00,,10.00,29.84,
LBF,2022-05-13 04:53,-100.6690,41.1219,53.00,36.00,310.00,8.00,,10.00,29.90,
AIA,2022-05-13 04:53,-102.8000,42.0572,48.00,37.00,290.00,21.00,28.00,10.00,29.92,
ORB,2022-05-13 04:53,-92.8560,48.0159,55.40,55.40,60.00,8.00,,10.00,29.67,-RA
DVP,2022-05-13 04:53,-95.7826,43.9868,64.00,59.50,240.00,18.00,,10.00,29.75,
GFK,2022-05-13 04:53,-97.1761,47.9492,59.00,55.00,90.00,17.00,32.00,10.00,29.50,
ABR,2022-05-13 04:53,-98.4200,45.4500,59.00,54.00,210.00,13.00,,10.00,29.60,
MHE,2022-05-13 04:53,-98.0386,43.7748,61.00,50.00,200.00,8.00,,10.00,29.76,
PIR,2022-05-13 04:53,-100.2860,44.3827,55.00,45.00,260.00,15.00,26.00,10.00,29.68,
ATY,2022-05-13 04:53,-97.1547,44.9140,61.00,57.00,210.00,13.00,,10.00,29.69,
MCW,2022-05-13 04:53,-93.3261,43.1544,75.00,56.00,200.00,6.00,,10.00,29.82,
AXN,2022-05-13 04:53,-95.3947,45.8663,63.00,60.00,160.00,9.00,,10.00,,
BDE,2022-05-13 04:53,-94.6122,48.7284,57.00,53.00,80.00,18.00,27.00,10.00,29.67,
STC,2022-05-13 04:53,-94.0513,45.5433,63.00,62.00,80.00,13.00,19.00,10.00,29.74,
LWD,2022-05-13 04:53,-93.9005,40.6306,72.00,60.00,190.00,6.00,,10.00,29.85,
SPW,2022-05-13 04:53,-95.2101,43.1682,70.00,58.00,240.00,12.00,23.00,10.00,29.78,
ICR,2022-05-13 04:53,-99.8422,43.3903,57.00,40.00,220.00,10.00,,10.00,29.75,
BRD,2022-05-13 04:53,-94.1308,46.4047,64.00,60.00,200.00,5.00,,4.00,,RA BR
DBQ,2022-05-13 04:53,-90.7091,42.3984,74.00,65.00,170.00,9.00,,9.00,29.91,
HSI,2022-05-13 04:53,-98.4279,40.6052,60.00,51.00,30.00,5.00,,10.00,29.92,
PKD,2022-05-13 04:53,-95.0700,46.9000,65.00,58.00,180.00,23.00,42.00,10.00,29.68,-RA
BFF,2022-05-13 04:53,-103.5956,41.8740,49.00,35.00,270.00,13.00,22.00,10.00,29.96,
BRL,2022-05-13 04:53,-91.1255,40.7729,78.00,69.00,160.00,9.00,,9.00,29.90,
GRI,2022-05-13 04:53,-98.3096,40.9675,62.00,49.00,70.00,8.00,,10.00,29.89,
CUT,2022-05-13 04:53,-103.6114,43.7331,38.00,35.00,260.00,20.00,35.00,10.00,29.79,-RA
BBW,2022-05-13 04:53,-99.6385,41.4365,60.00,35.00,0.00,0.00,,10.00,29.89,
IML,2022-05-13 04:53,-101.6201,40.5103,60.00,28.00,310.00,10.00,,10.00,29.94,
ALO,2022-05-13 04:54,-92.4013,42.5544,78.00,63.00,160.00,9.00,,10.00,29.83,
DSM,2022-05-13 04:54,-93.6531,41.5339,76.00,61.00,160.00,10.00,,10.00,29.80,
INL,2022-05-13 04:54,-93.3956,48.5595,54.00,52.00,60.00,11.00,26.00,10.00,29.72,-RA
RST,2022-05-13 04:54,-92.4916,43.9041,77.00,61.00,190.00,13.00,,10.00,29.81,
LNK,2022-05-13 04:54,-96.7633,40.8312,64.00,58.00,250.00,3.00,,10.00,29.95,
TQE,2022-05-13 04:54,-96.1779,41.7635,66.00,56.00,270.00,10.00,,10.00,29.90,
MOT,2022-05-13 04:54,-101.2803,48.2594,54.00,51.00,40.00,25.00,33.00,10.00,29.45,
S32,2022-05-13 04:55,-98.1059,47.4228,57.20,57.20,100.00,17.00,25.00,7.00,29.52,
OXV,2022-05-13 04:55,-93.1114,41.2984,75.20,62.60,170.00,6.00,,9.00,29.84,
CCY,2022-05-13 04:55,-92.6132,43.0730,77.00,62.60,170.00,11.00,,10.00,29.83,
IFA,2022-05-13 04:55,-93.2651,42.4691,74.50,65.30,280.00,9.00,,10.00,29.85,
VTI,2022-05-13 04:55,-92.0248,42.2176,78.40,63.70,160.00,8.00,,10.00,29.86,
CNC,2022-05-13 04:55,-93.3608,41.0184,73.40,64.40,170.00,6.00,,10.00,29.84,
CSQ,2022-05-13 04:55,-94.3608,41.0188,77.00,64.40,220.00,13.00,18.00,10.00,29.86,
FSW,2022-05-13 04:55,-91.3267,40.6615,78.80,69.80,150.00,9.00,,10.00,29.89,
AWG,2022-05-13 04:55,-91.6748,41.2751,78.80,64.40,170.00,9.00,,10.00,29.86,
SGS,2022-05-13 04:55,-93.0329,44.8571,69.60,63.70,70.00,3.00,,10.00,29.76,
ACQ,2022-05-13 04:55,-93.5529,44.0735,68.00,60.80,140.00,8.00,,,29.79,
EOK,2022-05-13 04:55,-91.4274,40.4615,77.00,69.80,140.00,6.00,,10.00,29.89,
MPZ,2022-05-13 04:55,-91.5122,40.9453,77.00,66.20,160.00,10.00,,10.00,29.88,
AEL,2022-05-13 04:55,-93.3672,43.6815,73.40,57.20,0.00,0.00,,10.00,29.80,
PNM,2022-05-13 04:55,-93.6082,45.5599,64.40,62.60,50.00,5.00,,10.00,29.79,-RA
PQN,2022-05-13 04:55,-96.3004,43.9821,64.40,57.20,250.00,17.00,22.00,10.00,29.80,
RGK,2022-05-13 04:55,-92.4868,44.5915,,,220.00,8.00,,10.00,3.54,
ROX,2022-05-13 04:55,-95.6971,48.8560,53.60,53.60,80.00,19.00,24.00,10.00,29.67,
HZE,2022-05-13 04:55,-101.5810,47.2899,53.60,53.60,60.00,13.00,23.00,2.00,29.37,-RA
7L2,2022-05-13 04:55,-100.2456,46.2206,53.60,53.60,200.00,20.00,30.00,10.00,29.48,
D60,2022-05-13 04:55,-102.8974,48.3803,48.20,48.20,40.00,23.00,30.00,4.00,29.49,BR
GHW,2022-05-13 04:55,-95.3204,45.6439,62.60,60.80,0.00,0.00,,10.00,29.64,
D55,2022-05-13 04:55,-98.3937,48.7531,55.40,55.40,70.00,16.00,,10.00,29.57,
06D,2022-05-13 04:55,-99.6208,48.8844,51.80,51.80,70.00,24.00,,3.00,29.59,-RA
AIT,2022-05-13 04:55,-93.6768,46.5484,60.80,59.00,170.00,7.00,18.00,10.00,29.81,+VCTSRA
AUM,2022-05-13 04:55,-92.9333,43.6647,78.80,64.40,240.00,8.00,,10.00,29.83,
HCO,2022-05-13 04:55,-96.9430,48.7527,57.20,55.40,90.00,26.00,34.00,10.00,29.53,-RA
ULM,2022-05-13 04:55,-94.5000,44.3200,64.40,60.80,110.00,9.00,,10.00,29.71,
BJI,2022-05-13 04:55,-94.9337,47.5094,60.00,59.20,140.00,7.00,,10.00,29.64,
COQ,2022-05-13 04:55,-92.5036,46.7011,53.60,51.80,110.00,8.00,,5.00,29.82,BR
ELO,2022-05-13 04:55,-91.8371,47.8287,53.60,53.60,80.00,9.00,14.00,10.00,29.81,-VCTSRA
FSE,2022-05-13 04:55,-95.7735,47.5928,53.60,51.80,80.00,7.00,17.00,10.00,29.64,
HCD,2022-05-13 04:55,-94.3825,44.8599,64.20,63.00,70.00,8.00,,10.00,29.75,
MJQ,2022-05-13 04:55,-94.9865,43.6500,69.80,53.60,220.00,18.00,24.00,10.00,29.80,
MZH,2022-05-13 04:55,-92.8048,46.4186,59.00,55.40,260.00,7.00,24.00,10.00,29.91,
JMR,2022-05-13 04:55,-93.2718,45.8861,57.20,57.20,0.00,0.00,,5.00,29.84,VCTSRA
ONA,2022-05-13 04:55,-91.7083,44.0772,82.40,64.40,180.00,6.00,,10.00,29.80,
FET,2022-05-13 04:55,-96.5200,41.4500,64.20,57.00,260.00,7.00,,10.00,29.93,-RA
AFK,2022-05-13 04:55,-95.8657,40.6069,65.00,57.20,310.00,16.00,24.00,10.00,29.94,-VCTSRA
LCG,2022-05-13 04:55,-96.9814,42.2419,65.00,49.30,280.00,9.00,,10.00,29.87,
BBB,2022-05-13 04:55,-95.6506,45.3319,64.40,60.80,180.00,13.00,16.00,10.00,29.70,
CQM,2022-05-13 04:55,-92.6894,47.8219,55.40,53.60,70.00,7.00,,10.00,29.71,-RA
TOB,2022-05-13 04:55,-92.8315,44.0180,73.40,55.40,230.00,6.00,,10.00,29.83,
DYT,2022-05-13 04:55,-92.0434,46.7219,42.80,42.80,90.00,8.00,,0.50,29.85,BR
FGN,2022-05-13 04:55,-94.9028,49.3183,51.80,48.20,70.00,15.00,22.00,10.00,29.71,
GYL,2022-05-13 04:55,-94.0812,44.7560,64.40,62.60,80.00,6.00,,10.00,29.75,
CKC,2022-05-13 04:55,-90.3829,47.8383,,,220.00,13.00,25.00,,30.02,VCTS
GDB,2022-05-13 04:55,-95.5560,44.7533,65.50,61.20,220.00,5.00,,10.00,29.71,
HZX,2022-05-13 04:55,-93.3098,46.6188,60.80,59.00,170.00,7.00,,7.00,29.87,TS
ANE,2022-05-13 04:55,-93.2102,45.1449,68.00,64.40,350.00,6.00,,10.00,29.78,-RA
LVN,2022-05-13 04:55,-93.2273,44.6252,68.00,60.80,0.00,0.00,,10.00,29.77,
VVV,2022-05-13 04:55,-96.4244,45.3057,62.60,60.80,130.00,6.00,,10.00,29.63,
PWC,2022-05-13 04:55,-94.3817,46.7248,62.60,60.80,190.00,19.00,27.00,10.00,29.80,-TSRA
SAZ,2022-05-13 04:55,-94.8066,46.3809,66.20,59.00,290.00,9.00,15.00,10.00,29.61,-RA
RRT,2022-05-13 04:55,-95.3483,48.9414,42.80,39.20,40.00,9.00,,0.25,29.70,DZ
BDH,2022-05-13 04:55,-95.1304,45.1177,64.40,62.60,120.00,10.00,,10.00,29.74,
CFE,2022-05-13 04:55,-93.8433,45.1590,64.40,62.60,90.00,6.00,,10.00,29.75,
14Y,2022-05-13 04:55,-94.8739,45.8983,60.80,59.00,110.00,5.00,,10.00,29.68,
LYV,2022-05-13 04:55,-96.2158,43.6212,62.60,57.20,240.00,19.00,,10.00,29.81,
OVL,2022-05-13 04:55,-95.0328,44.7786,62.60,59.00,120.00,6.00,,10.00,29.72,
PEX,2022-05-13 04:55,-94.7466,45.3723,62.60,60.80,150.00,9.00,,10.00,29.73,
FKA,2022-05-13 04:55,-92.1797,43.6767,76.00,61.30,180.00,10.00,,7.00,29.84,
9MN,2022-05-13 04:55,-92.4831,44.0198,80.00,59.00,160.00,6.00,16.00,10.00,29.81,
21D,2022-05-13 04:55,-92.8557,44.9975,68.00,60.80,330.00,3.00,,10.00,29.79,
TKC,2022-05-13 04:55,-95.6072,44.2491,67.80,58.60,240.00,17.00,27.00,10.00,29.72,
Y19,2022-05-13 04:55,-100.8944,46.7680,55.40,55.40,190.00,19.00,26.00,3.00,29.38,-DZ
2D5,2022-05-13 04:55,-98.0799,46.1731,60.80,60.80,200.00,24.00,29.00,10.00,29.55,
RUG,2022-05-13 04:55,-100.0243,48.3904,53.60,53.60,60.00,26.00,32.00,9.00,29.50,
08D,2022-05-13 04:55,-102.4064,48.3008,50.00,50.00,60.00,23.00,35.00,10.00,29.44,
S25,2022-05-13 04:55,-103.2552,47.7966,48.20,48.20,20.00,12.00,,7.00,29.47,-RA
IKV,2022-05-13 04:55,-93.5695,41.6878,75.20,60.80,170.00,6.00,,9.00,29.81,
AIO,2022-05-13 04:55,-95.0465,41.4059,64.40,64.40,280.00,13.00,24.00,6.00,29.93,RA
ICL,2022-05-13 04:55,-95.0223,40.7242,68.00,60.80,320.00,23.00,39.00,6.00,29.96,-RA
CBF,2022-05-13 04:55,-95.7604,41.2611,62.60,59.00,300.00,9.00,15.00,8.00,29.93,-DZ
OLZ,2022-05-13 04:55,-91.9760,42.6831,77.00,64.40,170.00,11.00,,10.00,29.86,
RDK,2022-05-13 04:55,-95.2624,41.0106,66.20,62.60,130.00,7.00,,,29.96,
SDA,2022-05-13 04:55,-95.4112,40.7533,71.60,55.40,300.00,12.00,18.00,10.00,29.94,
AXA,2022-05-13 04:55,-94.2724,43.0796,69.80,57.20,170.00,7.00,,10.00,29.78,
CIN,2022-05-13 04:55,-94.7889,42.0444,69.80,59.00,270.00,25.00,34.00,9.00,29.87,
CKP,2022-05-13 04:55,-95.5538,42.7304,68.50,61.30,250.00,18.00,23.00,10.00,29.84,
DEH,2022-05-13 04:55,-91.7433,43.2755,78.80,62.60,180.00,9.00,14.00,10.00,29.84,
FXY,2022-05-13 04:55,-93.6237,43.2323,69.80,53.60,130.00,3.00,,10.00,29.80,
LRJ,2022-05-13 04:55,-96.1923,42.7754,66.20,59.00,230.00,10.00,,10.00,29.85,
OOA,2022-05-13 04:55,-92.4919,41.2273,74.00,62.60,150.00,7.00,,10.00,29.85,
PRO,2022-05-13 04:55,-94.1637,41.8278,76.60,61.70,210.00,9.00,,10.00,29.82,
SHL,2022-05-13 04:55,-95.8353,43.2082,66.20,62.60,240.00,15.00,,10.00,29.81,
ADU,2022-05-13 04:55,-94.9204,41.6994,66.20,59.00,280.00,8.00,14.00,10.00,29.93,-DZ
GGI,2022-05-13 04:55,-92.7332,41.7097,74.50,63.50,160.00,7.00,,10.00,29.86,
HNR,2022-05-13 04:55,-95.3355,41.5834,62.60,62.60,260.00,12.00,17.00,10.00,29.94,
MXO,2022-05-13 04:55,-91.1605,42.2204,77.00,66.20,140.00,5.00,,10.00,29.87,
MUT,2022-05-13 04:55,-91.1406,41.3670,78.80,68.00,150.00,8.00,,10.00,29.88,
PEA,2022-05-13 04:55,-92.9431,41.3989,76.50,63.00,150.00,6.00,,10.00,29.84,
EBS,2022-05-13 04:55,-93.8691,42.4392,73.40,64.40,160.00,3.00,,10.00,29.79,
BNW,2022-05-13 04:55,-93.8486,42.0486,78.80,62.60,160.00,12.00,,10.00,29.80,
CAV,2022-05-13 04:55,-93.7593,42.7430,73.40,53.60,140.00,9.00,,10.00,29.78,
DNS,2022-05-13 04:55,-95.3800,41.9842,68.00,66.20,250.00,14.00,24.00,5.00,29.92,-RA
FFL,2022-05-13 04:55,-91.9834,41.0521,77.00,64.40,160.00,9.00,,10.00,29.87,
TNU,2022-05-13 04:55,-93.0190,41.6701,73.40,64.40,160.00,7.00,,10.00,29.83,
9V9,2022-05-13 04:55,-99.3183,43.7667,57.70,43.00,230.00,12.00,,10.00,29.73,
EVM,2022-05-13 04:55,-92.4981,47.4251,53.60,53.60,110.00,5.00,,10.00,29.81,
HON,2022-05-13 04:55,-98.2286,44.3852,62.00,50.00,220.00,12.00,,10.00,,
ANW,2022-05-13 04:55,-99.9930,42.5792,58.60,35.60,260.00,15.00,,10.00,29.82,
AUH,2022-05-13 04:55,-97.9946,40.8941,64.00,50.40,60.00,16.00,,10.00,29.86,
PMV,2022-05-13 04:55,-95.9179,40.9502,65.30,57.20,270.00,12.00,17.00,7.00,29.96,VCTSRA
AHQ,2022-05-13 04:55,-96.5946,41.2406,64.00,57.70,310.00,7.00,,10.00,29.92,-RA
CKN,2022-05-13 04:55,-96.6214,47.8417,57.20,,90.00,17.00,25.00,10.00,29.52,
FBL,2022-05-13 04:55,-93.3108,44.3247,71.60,62.60,160.00,6.00,,10.00,29.79,
FFM,2022-05-13 04:55,-96.1567,46.2844,64.40,60.80,170.00,13.00,,10.00,29.56,
LXL,2022-05-13 04:55,-94.3469,45.9492,62.60,60.80,110.00,8.00,15.00,10.00,29.71,-RA
04W,2022-05-13 04:55,-92.8952,46.0229,62.60,62.60,290.00,13.00,38.00,3.00,29.87,+VCTSRA
JKJ,2022-05-13 04:55,-96.6640,46.8393,64.40,59.00,170.00,13.00,,10.00,29.55,
VWU,2022-05-13 04:55,-94.5167,48.1539,59.00,55.40,80.00,14.00,20.00,10.00,29.67,
3N8,2022-05-13 04:55,-95.9281,47.2605,65.00,56.80,160.00,14.00,17.00,10.00,29.59,
Y49,2022-05-13 04:55,-94.6453,47.1595,66.00,58.30,180.00,24.00,38.00,10.00,29.65,-RA
GRN,2022-05-13 04:55,-102.1753,42.8060,47.30,39.40,280.00,21.00,34.00,10.00,29.85,
HPT,2022-05-13 04:55,-93.2244,42.7175,75.20,60.80,190.00,7.00,,10.00,29.82,
SXK,2022-05-13 04:55,-96.1614,42.9858,66.20,62.60,250.00,23.00,30.00,10.00,29.82,
HJH,2022-05-13 04:55,-97.5870,40.1523,63.50,59.50,140.00,10.00,,10.00,29.86,-RA
IBM,2022-05-13 04:55,-103.6774,41.1881,46.40,24.30,280.00,14.00,,10.00,30.00,
LXN,2022-05-13 04:55,-99.7759,40.7904,56.70,40.60,140.00,6.00,,10.00,29.92,
MLE,2022-05-13 04:55,-96.1120,41.1960,67.00,54.50,280.00,7.00,16.00,10.00,29.94,-RA
OGA,2022-05-13 04:55,-101.7697,41.1195,54.30,34.30,330.00,7.00,,10.00,29.93,
JYR,2022-05-13 04:55,-97.6228,40.8967,62.60,55.40,250.00,7.00,19.00,9.00,29.93,-RA
TVK,2022-05-13 04:55,-92.8983,40.6832,73.40,60.80,150.00,5.00,,10.00,29.87,
20U,2022-05-13 04:55,-103.9821,46.9252,46.40,46.40,300.00,23.00,30.00,3.00,29.55,-RA
BWW,2022-05-13 04:55,-103.3007,46.1655,46.40,46.40,300.00,21.00,28.00,2.00,29.50,RA
9D7,2022-05-13 04:55,-99.2364,48.4800,55.40,55.40,50.00,15.00,23.00,5.00,29.56,BR
46D,2022-05-13 04:55,-99.1513,47.4511,57.20,57.20,110.00,14.00,,10.00,29.49,
2C8,2022-05-13 04:55,-97.6320,48.7837,55.40,55.40,90.00,18.00,28.00,10.00,29.53,
D50,2022-05-13 04:55,-103.2973,48.9285,46.40,46.40,20.00,23.00,32.00,1.25,29.57,+RA
D57,2022-05-13 04:55,-101.8602,46.8128,57.20,57.20,90.00,10.00,,1.00,29.31,BR
GAF,2022-05-13 04:55,-97.3709,48.4047,59.00,59.00,90.00,24.00,32.00,10.00,29.51,
GWR,2022-05-13 04:55,-97.6435,46.2187,62.60,62.60,180.00,13.00,19.00,10.00,29.56,
5H4,2022-05-13 04:55,-99.9317,47.7912,55.40,55.40,70.00,15.00,,10.00,29.47,
BAC,2022-05-13 04:55,-98.0180,46.9412,57.20,57.20,110.00,12.00,,0.25,29.50,FG
BWP,2022-05-13 04:55,-96.6074,46.2441,62.60,59.00,180.00,14.00,,10.00,29.56,
96D,2022-05-13 04:55,-97.9028,48.9406,55.40,55.40,90.00,16.00,25.00,10.00,29.57,
PHP,2022-05-13 04:55,-101.6000,44.0500,50.00,46.00,270.00,11.00,,10.00,29.72,
SPF,2022-05-13 04:55,-103.7830,44.4803,44.60,39.20,260.00,24.00,36.00,10.00,29.76,
BVN,2022-05-13 04:55,-98.0558,41.7286,60.80,50.00,0.00,0.00,,10.00,29.90,
BIE,2022-05-13 04:55,-96.7541,40.3013,62.80,59.50,340.00,8.00,,10.00,29.92,
BTA,2022-05-13 04:55,-96.1090,41.4148,64.60,56.30,260.00,9.00,,10.00,29.92,
DTL,2022-05-13 04:55,-95.8856,46.8252,64.40,57.20,130.00,15.00,,10.00,29.55,
SLB,2022-05-13 04:55,-95.2399,42.5972,68.00,60.80,240.00,11.00,17.00,10.00,29.86,
TIF,2022-05-13 04:55,-100.5690,41.9622,58.50,35.00,290.00,20.00,28.00,10.00,29.88,
ROS,2022-05-13 04:55,-92.9530,45.6980,63.00,60.00,170.00,4.00,14.00,4.00,29.87,+TSRA
SYN,2022-05-13 04:55,-93.0145,44.4736,71.80,62.00,130.00,4.00,,10.00,29.76,
I75,2022-05-13 04:55,-93.6876,41.0472,74.50,62.00,170.00,6.00,,7.00,29.85,
ONL,2022-05-13 04:55,-98.6881,42.4697,58.50,40.00,160.00,6.00,,10.00,29.84,
DLH,2022-05-13 04:55,-92.1936,46.8421,53.00,51.00,110.00,13.00,,10.00,29.83,
